20220621	16:09:46	a3f33107-df97-46e4-86f8-177247ba000b	POST	undefined	/register
20220621	16:09:58	ec97263b-d24c-40a2-ae7a-bbc38bb7e4da	GET	undefined	/refresh
20220621	16:10:14	fc235574-3edb-43e7-a6a5-1944536f6317	POST	undefined	/auth
20220621	16:10:37	f91ae48a-a577-4500-aac2-7ae22f6de562	GET	undefined	/employees/1
20220621	16:10:44	8aa86637-30a5-4189-baa6-4971a9c818d1	POST	undefined	/auth
20220621	16:11:05	56e52ffd-385a-435d-a83c-7a806b03f3b7	GET	undefined	/refresh
20220621	16:11:21	437f0529-86de-42e0-9866-626ffd587d3f	POST	undefined	/auth
20220621	16:11:46	efdbf73d-438c-4987-a9c5-f35acc2cfb13	GET	undefined	/refresh
20220622	11:02:21	01589c47-2077-4909-9533-635ed7ec4d47	POST	undefined	/auth
20220622	11:02:42	c848d1d3-e0a2-459b-94db-dc77454ad98f	GET	undefined	/employees
20220622	11:03:01	4893d9bf-45b0-4b54-9d47-0bb50183ac64	GET	undefined	/employees
20220622	11:03:08	7a437aa2-db3d-4a7c-8a45-01012ae0bf5c	POST	undefined	/auth
20220622	11:03:23	3386a298-59d9-431f-920f-9c3d7d41b121	GET	undefined	/employees
20220622	11:03:37	618a65ac-9d8b-438a-92bc-2cdd0a3e3c65	POST	undefined	/employees
20220622	11:03:47	509c64bd-3f86-4aeb-a4c9-e177944392e5	POST	undefined	/employees
20220622	11:05:24	65e73ef4-afff-477e-86b9-4c2424835a7f	POST	undefined	/auth
20220622	11:05:39	bf56e00c-35a0-4660-ba35-f1e1d797e4ac	POST	undefined	/employees
